Nama Produk,Harga,Jenis Penyedia,Lokasi,Vendor,Jumlah Terjual,Nilai TKDN (%),Lumen,Efikasi (lm/W),Voltase (V),Daya (Watt)
SHINE LED STREET LIGHT 40W SH3101 CUSTOM PACK,2513514.00,UMKK,"KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",MAHA KARYA TEKNOLOGI,589,61.08,,,,
BASWARA JAGGO 40,2531532.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",BASKARA PUTRA PERKASA,582,55.11,,,,
Kabel LVTC 2 x 16 sqmm Terpasang (Jaringan Udara),19500.00,UMKK,"KAB. BANYUMAS, JAWA TENGAH",MERPATI MITRA UTAMA,0,96.79,,,,
PJU LED 20 WATT TERPASANG,3745000.00,UMKK,"KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",SINAR PERSADA,800,59.77,,,,
PANASONIC NNP11944 Luminer Lengkap LED 60W Neo Auto Dimming,3111441.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",KARYA PUTRA ANDALAN,675,37.77,8.40,140.00,,
Stang Ornament PJU Galvanis  Lengkap dengan Klem,548500.00,UMKK,"KAB BEKASI, JAWA BARAT",CAHAYA BINTANG SERUNI,124,50.95,,,,
DEMETER-90W-AC (ML) - AUTO DIMMING,3901171.00,UMKK,"KAB BEKASI, JAWA BARAT",ASA KARSA SEJAHTERA INSANI,803,46.44,,,,
Kabel DX/LVTC Ukuran 2X16 sqmm (Terpasang),19986.00,UMKK,"KAB. SLEMAN, DAERAH ISTIMEWA YOGYAKARTA",DIPTA KRIYA,0,96.79,,,,
Kabel DX/LVTC 2 x 16 Sqmm,20000.00,UMKK,"KOTA BANDA ACEH, ACEH",ENAM PURNAMA,0,96.79,,,,
PJU INTERONE AC 90W,3630631.00,UMKK,"KOTA YOGYAKARTA, DAERAH ISTIMEWA YOGYAKARTA",SOLARINDO JAYA,745,61.89,,,,
INPOWER LAMPU PJU 60W SL-IN60 READY TO SMART,6095643.00,UMKK,"KOTA BEKASI, JAWA BARAT",INTER NUSA KREASINDO,1127,40.00,,,,
Citystar Led Roadlight 70w,1711712.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",JAWARA INTEGRA SEMESTA,379,31.16,,,,
LAMPU LED PENERANGAN JALAN UMUM 60 Watt - SL SERIES 100 CMB,2342342.00,UMKK,"KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",NUSA ELEKTRIK ENERGI,500,35.41,,,,
Pengadaan dan Pemasangan Alat Penerangan Jalan LED Street Light NNP10845 Panasonic Neo 30 Watt,2700000.00,UMKK,"KAB. TANAH BUMBU, KALIMANTAN SELATAN",SURYA HARAPAN BATULICIN,560,26.34,3.60,,,
LAMPU PJU LED SINARMAX TYPE NMAX-RF (40 WATT - 90 WATT),2395000.00,UMKK,"KAB. TANGERANG, BANTEN",ABADI BANUA CEMERLANG,1040,48.43,,,305.00,
Kabel Udara LVTC 2 x 16 sqmm MERINDO + Pasang,21500.00,UMKK,"KAB. BANYUMAS, JAWA TENGAH",KARISMA JAYA TEKNOLOGI,0,96.79,,,,
PENGADAAN LAMPU LED STREET LIGHT 30W UBLIX KANCANA DAN ARMATURE,2698000.00,UMKK,"KAB BEKASI, JAWA BARAT",QODA JAGAD GEMILANG,497,40.34,,,,
PANASONIC NNP126887PD38 LED STREET LIGHT ULTRA I 60W SISTEM READY FOR SMART,3963964.00,UMKK,"KAB. KEDIRI, JAWA TIMUR",TIERRA SETYA CHEMICAL,689,25.36,,,,
KSP LIGHTING KSE1202 MODEL SMD 60 WATT DIMMING SYSTEM,3355856.00,UMKK,"KOTA ADM. JAKARTA UTARA, DKI JAKARTA",KHARISMA SURYA ENERGINDO,584,53.79,,,,
POWERLED PSL1205 MODEL SMD 60W,3288289.00,UMKK,"KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",INDO SEWING ABADI,555,61.10,,,,
DEMETER-60W-AC (ML) - AUTO DIMMING,3294775.00,UMKK,"KAB BEKASI, JAWA BARAT",ASA KARSA SEJAHTERA INSANI,553,46.44,,,,
Stang Ornament 3 Meter Lengkap Klem,810000.00,UMKK,"KAB BEKASI, JAWA BARAT",CAHAYA BINTANG SERUNI,148,50.95,,,,
MORADON LAMPU JALAN LED SERI-P (SLP),5595496.00,UMKK,"KOTA MEDAN, SUMATERA UTARA",PURWA CATURDASA,850,46.19,,,245.00,
PANASONIC NNP10845 Luminer Lengkap LED 30W Neo dengan Adapter Pole,1059100.00,UMKK,"KOTA SURABAYA, JAWA TIMUR",KARYA PUTRA ANDALAN,193,42.15,3600.00,120.00,,
Pemasangan PJU Lampu Armature LED 40 Watt,3363000.00,UMKK,"KOTA BANJARMASIN, KALIMANTAN SELATAN",BANUA MITRA ELECTRIK,554,40.34,,,,
NNP10845 Luminer Lengkap LED 30 W Neo,889730.00,UMKK,"KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",BARA SUKSES INTI,160,42.15,,,,
BANDELL RUSH 90 WATT,3725000.00,UMKK,"KOTA BALIKPAPAN, KALIMANTAN TIMUR",CAKRA BORNEO AMANAH,592,64.90,,157.00,,90.00
LAMPU JALAN LED 60W STON,4034234.00,UMKK,"KOTA ADM. JAKARTA BARAT, DKI JAKARTA",MARSADA SAROHA HITA,630,41.32,,,,
TIANG TANAM PRESS BOTTLE H 7 METER FINISHING HOT DEEP GALVANIZED,2995500.00,UMKK,"KOTA BEKASI, JAWA BARAT",ANUGRAH KARYA TEKNIK,478,50.21,,,,
ASPJ VAC Series LED Street Light 30 Watt,1351351.00,UMKK,"KOTA TANGERANG SELATAN, BANTEN",ANEKA SARANA PRATAMA JAYA,230,57.05,,,,
PANASONIC NNP11964 LUMINER LENGKAP LED 60W NEO HL AUTO DIMMING 160lm/W,4135135.00,UMKK,"KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",MELIA NETWORK INDONESIA,621,34.46,,,,
BANDELL SPR 40 SMARTSYSTEM,5620000.00,UMKK,"KAB. SIDOARJO, JAWA TIMUR",AHYMSA DAMAR DELTA,792,69.66,,,,
BANDELL SPR 120 WATT,4318919.00,UMKK,"KOTA BALIKPAPAN, KALIMANTAN TIMUR",CAKRA BORNEO AMANAH,625,63.17,,178.00,,120.00
Philips Citystar 30W / BRP331 LED36 CW 30W R5N PC PSU S1 SPD,1550000.00,UMKK,"KAB. KARANGANYAR, JAWA TENGAH",SURYA ABHINAYA GLOBALINDO,250,32.57,,,,
